	FeatureName	Transcript	Amplicon	GeneID	GeneSymbol	AmpliconSize	IsGeneCard
TGFBR2	NM_001024847	NM_001024847	AMPL686015	7048	TGFBR2	106	FALSE
CASP4	NM_001225	NM_001225	AMPL7109238	837	CASP4	108	FALSE
LMX1A	NM_001174069	NM_001174069	AMPL7771252	4009	LMX1A	105	TRUE
CNN1	NM_001299	NM_001299	AMPL11752457	1264	CNN1	111	FALSE
SEMA3F	NM_004186	NM_004186	AMPL27715192	6405	SEMA3F	98	FALSE
ELAVL1	NM_001419	NM_001419	AMPL9361617	1994	ELAVL1	104	FALSE
STAT2	NM_005419	NM_005419	AMPL27615998	6773	STAT2	110	FALSE
RBL2	NM_005611	NM_005611	AMPL27471829	5934	RBL2	108	FALSE
ODC1	NM_002539	NM_002539	AMPL7067308	4953	ODC1	103	FALSE
BAK1	NM_001188	NM_001188	AMPL9492945	578	BAK1	110	FALSE
NES	NM_006617	NM_006617	AMPL13097364	10763	NES	109	FALSE
OGG1	NM_016820	NM_016820	AMPL30677477	4968	OGG1	107	FALSE
EIF4EBP1	NM_004095	NM_004095	AMPL27717688	1978	EIF4EBP1	104	FALSE
SLC29A4	NM_001040661	NM_001040661	AMPL3853796	222962	SLC29A4	108	FALSE
PPARGC1A	NM_013261	NM_013261	AMPL12102485	10891	PPARGC1A	109	FALSE
ESR2	NM_001437	NM_001437	AMPL7240046	2100	ESR2	101	FALSE
SULT4A1	NM_014351	NM_014351	AMPL24573060	25830	SULT4A1	104	FALSE
TBP	NM_003194	NM_003194	AMPL10120359	6908	TBP	98	FALSE
MUC1	NM_001204287	NM_001204287	AMPL10434861	4582	MUC1	106	FALSE
NEU1	NM_000434	NM_000434	AMPL3974835	4758	NEU1	107	FALSE
MGAT2	NM_002408	NM_002408	AMPL8368728	4247	MGAT2	107	FALSE
PTX3	NM_002852	NM_002852	AMPL10952016	5806	PTX3	111	FALSE
ADRB2	NM_000024	NM_000024	AMPL17586	154	ADRB2	106	FALSE
USP18	NM_017414	NM_017414	AMPL31461347	11274	USP18	104	FALSE
ADAM19	NM_033274	NM_033274	AMPL16635911	8728	ADAM19	106	FALSE
CTSL	NM_001912	NM_001912	AMPL11705026	1514	CTSL	110	FALSE
OAS2	NM_016817	NM_016817	AMPL32236575	4939	OAS2	101	FALSE
TCF7	NM_003202	NM_003202	AMPL8799668	6932	TCF7	107	FALSE
GSTO2	NM_183239	NM_183239	AMPL21091143	119391	GSTO2	108	FALSE
ABCB11	NM_003742	NM_003742	AMPL7530015	8647	ABCB11	105	FALSE
CDH2	NM_001792	NM_001792	AMPL9832841	1000	CDH2	107	FALSE
RHOC	NM_001042679	NM_001042679	AMPL1682108	389	RHOC	109	FALSE
PSMB10	NM_002801	NM_002801	AMPL7633196	5699	PSMB10	109	FALSE
NFATC1	NM_172387	NM_172387	AMPL17622498	4772	NFATC1	104	FALSE
GPR119	NM_178471	NM_178471	AMPL18286324	139760	GPR119	110	FALSE
INHBA	NM_002192	NM_002192	AMPL9783320	3624	INHBA	104	FALSE
NAT2	NM_000015	NM_000015	AMPL7195	10	NAT2	96	FALSE
PLD1	NM_002662	NM_002662	AMPL7854371	5337	PLD1	109	FALSE
TREM2	NM_018965	NM_018965	AMPL30572041	54209	TREM2	110	FALSE
FASN	NM_004104	NM_004104	AMPL30034450	2194	FASN	108	FALSE
CCNE1	NM_001238	NM_001238	AMPL7555808	898	CCNE1	102	FALSE
RHOA	NM_001664	NM_001664	AMPL7739685	387	RHOA	101	FALSE
EIF2AK2	NM_001135651	NM_001135651	AMPL2115157	5610	EIF2AK2	99	FALSE
EDNRB	NM_001201397	NM_001201397	AMPL9446123	1910	EDNRB	107	FALSE
MYOCD	NM_153604	NM_153604	AMPL15790399	93649	MYOCD	110	FALSE
CDH5	NM_001795	NM_001795	AMPL9645686	1003	CDH5	106	TRUE
TUBB2A	NM_001069	NM_001069	AMPL2876291	7280	TUBB2A	103	FALSE
CDKN2A	NM_000077	NM_000077	AMPL4089136	1029	CDKN2A	106	FALSE
ING1	NM_005537	NM_005537	AMPL29121724	3621	ING1	90	FALSE
STC1	NM_003155	NM_003155	AMPL7139620	6781	STC1	107	FALSE
POU4F1	NM_006237	NM_006237	AMPL29285250	5457	POU4F1	104	TRUE
GAD2	NM_001134366	NM_001134366	AMPL1947904	2572	GAD2	103	FALSE
AKT1	NM_001014431	NM_001014431	AMPL2201548	207	AKT1	109	FALSE
CYP26A1	NM_000783	NM_000783	AMPL2807588	1592	CYP26A1	104	FALSE
MAD1L1	NM_001013837	NM_001013837	AMPL1089259	8379	MAD1L1	102	FALSE
NFE2L2	NM_006164	NM_006164	AMPL28679895	4780	NFE2L2	107	FALSE
HEY2	NM_012259	NM_012259	AMPL12272409	23493	HEY2	106	FALSE
RCAN1	NM_004414	NM_004414	AMPL30402020	1827	RCAN1	98	FALSE
COLEC10	NM_006438	NM_006438	AMPL27643799	10584	COLEC10	107	TRUE
CD14	NM_000591	NM_000591	AMPL4806194	929	CD14	106	FALSE
TSLP	NM_033035	NM_033035	AMPL15805293	85480	TSLP	103	FALSE
PLCG1	NM_002660	NM_002660	AMPL7054062	5335	PLCG1	110	FALSE
TBX2	NM_005994	NM_005994	AMPL29841464	6909	TBX2	110	FALSE
MAPK13	NM_002754	NM_002754	AMPL9034503	5603	MAPK13	101	FALSE
SOX4	NM_003107	NM_003107	AMPL10759812	6659	SOX4	105	FALSE
PMEPA1	NM_020182	NM_020182	AMPL32350014	56937	PMEPA1	104	FALSE
UGT1A8	NM_019076	NM_019076	AMPL34103312	54576	UGT1A8	77	FALSE
MECP2	NM_001110792	NM_001110792	AMPL4899024	4204	MECP2	106	FALSE
HNF1B	NM_000458	NM_000458	AMPL6526914	6928	HNF1B	106	TRUE
NRP2	NM_201266	NM_201266	AMPL21764076	8828	NRP2	106	FALSE
RBP4	NM_006744	NM_006744	AMPL12248500	5950	RBP4	108	FALSE
GRHL1	NM_198182	NM_198182	AMPL20883449	29841	GRHL1	99	FALSE
CEBPD	NM_005195	NM_005195	AMPL27164852	1052	CEBPD	103	FALSE
IL4R	NM_000418	NM_000418	AMPL5019907	3566	IL4R	108	FALSE
CASP8	NM_001080125	NM_001080125	AMPL5125235	841	CASP8	96	FALSE
MMP19	NM_002429	NM_002429	AMPL8346069	4327	MMP19	103	FALSE
PPARA	NM_001001928	NM_001001928	AMPL2964662	5465	PPARA	105	FALSE
VEGFB	NM_003377	NM_003377	AMPL11734697	7423	VEGFB	91	FALSE
HNMT	NM_006895	NM_006895	AMPL13439585	3176	HNMT	103	FALSE
GALC	NM_000153	NM_000153	AMPL4432583	2581	GALC	109	FALSE
SET	NM_003011	NM_003011	AMPL8652865	6418	SET	102	FALSE
GGT1	NM_013430	NM_013430	AMPL24500367	2678	GGT1	105	FALSE
RPS6KA1	NM_001006665	NM_001006665	AMPL348625	6195	RPS6KA1	104	FALSE
HLX	NM_021958	NM_021958	AMPL36310012	3142	HLX	102	FALSE
SLCO2A1	NM_005630	NM_005630	AMPL27703553	6578	SLCO2A1	108	FALSE
CDKN2D	NM_001800	NM_001800	AMPL11711773	1032	CDKN2D	106	FALSE
EDN1	NM_001955	NM_001955	AMPL7530963	1906	EDN1	106	FALSE
SLC19A3	NM_025243	NM_025243	AMPL14176682	80704	SLC19A3	105	FALSE
JMJD6	NM_001081461	NM_001081461	AMPL6146498	23210	JMJD6	104	FALSE
MST1	NM_020998	NM_020998	AMPL36807166	4485	MST1	107	FALSE
TCF4	NM_001083962	NM_001083962	AMPL3798715	6925	TCF4	107	FALSE
ANK1	NM_001142446	NM_001142446	AMPL3901223	286	ANK1	85	FALSE
BMI1	NM_005180	NM_005180	AMPL27860015	648	BMI1	101	FALSE
FOS	NM_005252	NM_005252	AMPL29366622	2353	FOS	104	FALSE
DLL4	NM_019074	NM_019074	AMPL31396774	54567	DLL4	99	FALSE
ENC1	NM_003633	NM_003633	AMPL11026299	8507	ENC1	96	FALSE
MMP2	NM_004530	NM_004530	AMPL30209982	4313	MMP2	108	FALSE
NSG2	NM_015980	NM_015980	AMPL31395204	51617	NSG2	108	TRUE
ANGPT2	NM_001147	NM_001147	AMPL8516283	285	ANGPT2	103	FALSE
ALDH1A2	NM_003888	NM_003888	AMPL27274196	8854	ALDH1A2	101	FALSE
PARK7	NM_007262	NM_007262	AMPL12066978	11315	PARK7	107	FALSE
TBX3	NM_016569	NM_016569	AMPL31361135	6926	TBX3	105	TRUE
GLI2	NM_005270	NM_005270	AMPL29584777	2736	GLI2	104	FALSE
TNFRSF9	NM_001561	NM_001561	AMPL8469001	3604	TNFRSF9	104	FALSE
SOX9	NM_000346	NM_000346	AMPL5370025	6662	SOX9	107	FALSE
CEBPA	NM_004364	NM_004364	AMPL29399893	1050	CEBPA	108	FALSE
FOXO1	NM_002015	NM_002015	AMPL8755973	2308	FOXO1	105	FALSE
MYLIP	NM_013262	NM_013262	AMPL13277510	29116	MYLIP	105	FALSE
TYMS	NM_001071	NM_001071	AMPL4563892	7298	TYMS	107	FALSE
ALDH6A1	NM_005589	NM_005589	AMPL27138130	4329	ALDH6A1	98	FALSE
ANGPTL4	NM_139314	NM_139314	AMPL35451757	51129	ANGPTL4	109	FALSE
CD4	NM_000616	NM_000616	AMPL3598282	920	CD4	108	FALSE
LFNG	NM_001040167	NM_001040167	AMPL4591694	3955	LFNG	111	FALSE
HEXA	NM_000520	NM_000520	AMPL4828558	3073	HEXA	109	FALSE
PTPN1	NM_002827	NM_002827	AMPL8855164	5770	PTPN1	109	FALSE
EOMES	NM_005442	NM_005442	AMPL27607216	8320	EOMES	105	TRUE
FBN1	NM_000138	NM_000138	AMPL1848894	2200	FBN1	104	FALSE
DDX58	NM_014314	NM_014314	AMPL24659139	23586	DDX58	103	FALSE
DISC1	NM_001164537	NM_001164537	AMPL10562598	27185	DISC1	95	FALSE
SOD1	NM_000454	NM_000454	AMPL4830490	6647	SOD1	112	FALSE
AGPAT2	NM_006412	NM_006412	AMPL28923039	10555	AGPAT2	106	FALSE
PIM2	NM_006875	NM_006875	AMPL12469688	11040	PIM2	107	FALSE
TRAF1	NM_001190945	NM_001190945	AMPL9192482	7185	TRAF1	109	FALSE
ACACB	NM_001093	NM_001093	AMPL4793463	32	ACACB	105	FALSE
PDGFRA	NM_006206	NM_006206	AMPL27093990	5156	PDGFRA	106	TRUE
NRP1	NM_003873	NM_003873	AMPL29210761	8829	NRP1	105	FALSE
SDHA	NM_004168	NM_004168	AMPL29183394	6389	SDHA	99	FALSE
NPM1	NM_002520	NM_002520	AMPL8187368	4869	NPM1	105	FALSE
DDIT4	NM_019058	NM_019058	AMPL31176656	54541	DDIT4	101	FALSE
NCOA1	NM_003743	NM_003743	AMPL8548990	8648	NCOA1	110	FALSE
MSX1	NM_002448	NM_002448	AMPL9921152	4487	MSX1	111	FALSE
GPX1	NM_000581	NM_000581	AMPL3785890	2876	GPX1	107	FALSE
SPHK1	NM_182965	NM_182965	AMPL21091641	8877	SPHK1	111	FALSE
IRF1	NM_002198	NM_002198	AMPL10882953	3659	IRF1	109	FALSE
OAS1	NM_016816	NM_016816	AMPL30913458	4938	OAS1	108	FALSE
MAP4K2	NM_004579	NM_004579	AMPL27221161	5871	MAP4K2	105	FALSE
IRF7	NM_001572	NM_001572	AMPL11599721	3665	IRF7	107	FALSE
LPAR1	NM_001401	NM_001401	AMPL7577548	1902	LPAR1	109	FALSE
PLIN2	NM_001122	NM_001122	AMPL1358252	123	PLIN2	104	FALSE
USF1	NM_007122	NM_007122	AMPL12345678	7391	USF1	104	FALSE
PI4KB	NM_001198774	NM_001198774	AMPL7731376	5298	PI4KB	107	FALSE
GALNT1	NM_020474	NM_020474	AMPL31588684	2589	GALNT1	103	FALSE
ZBTB16	NM_001018011	NM_001018011	AMPL2176244	7704	ZBTB16	106	TRUE
CYP27B1	NM_000785	NM_000785	AMPL6559507	1594	CYP27B1	108	FALSE
MTHFR	NM_005957	NM_005957	AMPL29530306	4524	MTHFR	108	FALSE
RECK	NM_021111	NM_021111	AMPL36857087	8434	RECK	107	FALSE
SOD3	NM_003102	NM_003102	AMPL11642112	6649	SOD3	97	FALSE
CYP24A1	NM_000782	NM_000782	AMPL4944912	1591	CYP24A1	107	FALSE
CSF1R	NM_005211	NM_005211	AMPL27286436	1436	CSF1R	106	FALSE
NOTCH2	NM_024408	NM_024408	AMPL35823019	4853	NOTCH2	110	FALSE
ITGB4	NM_000213	NM_000213	AMPL3712156	3691	ITGB4	108	FALSE
ACSM3	NM_005622	NM_005622	AMPL27262281	6296	ACSM3	105	FALSE
ITGA1	NM_181501	NM_181501	AMPL16804820	3672	ITGA1	100	FALSE
CADM1	NM_014333	NM_014333	AMPL25336814	23705	CADM1	105	FALSE
IFNGR1	NM_000416	NM_000416	AMPL4658486	3459	IFNGR1	100	FALSE
VIL1	NM_007127	NM_007127	AMPL12576268	7429	VIL1	107	FALSE
TLN1	NM_006289	NM_006289	AMPL26924231	7094	TLN1	110	FALSE
ST8SIA1	NM_003034	NM_003034	AMPL7807895	6489	ST8SIA1	100	FALSE
VCAM1	NM_001078	NM_001078	AMPL2878201	7412	VCAM1	104	FALSE
MAOB	NM_000898	NM_000898	AMPL3163778	4129	MAOB	98	FALSE
RXRA	NM_002957	NM_002957	AMPL10465754	6256	RXRA	107	FALSE
SLIT2	NM_004787	NM_004787	AMPL28261068	9353	SLIT2	106	FALSE
MAN1A1	NM_005907	NM_005907	AMPL26940124	4121	MAN1A1	104	FALSE
MICA	NM_001177519	NM_001177519	AMPL7159633	100507436	MICA	102	FALSE
OSM	NM_020530	NM_020530	AMPL31256885	5008	OSM	103	FALSE
CDKN1C	NM_000076	NM_000076	AMPL4313750	1028	CDKN1C	109	FALSE
GSK3B	NM_002093	NM_002093	AMPL7670984	2932	GSK3B	104	FALSE
IL12A	NM_000882	NM_000882	AMPL2517100	3592	IL12A	103	FALSE
CPT1A	NM_001876	NM_001876	AMPL8596302	1374	CPT1A	109	FALSE
DBI	NM_001178017	NM_001178017	AMPL8889477	1622	DBI	107	FALSE
EZR	NM_003379	NM_003379	AMPL8232276	7430	EZR	109	FALSE
COX5A	NM_004255	NM_004255	AMPL29177862	9377	COX5A	104	FALSE
CYP2W1	NM_017781	NM_017781	AMPL31084320	54905	CYP2W1	106	FALSE
LEFTY1	NM_020997	NM_020997	AMPL37403586	10637	LEFTY1	110	TRUE
ABCC5	NM_005688	NM_005688	AMPL28505891	10057	ABCC5	101	FALSE
BAX	NM_004324	NM_004324	AMPL27247904	581	BAX	107	FALSE
PRDX1	NM_001202431	NM_001202431	AMPL10265200	5052	PRDX1	104	FALSE
SERPINA3	NM_001085	NM_001085	AMPL1082813	12	SERPINA3	111	FALSE
PA2G4	NM_006191	NM_006191	AMPL20296731	5036	PA2G4	100	FALSE
TFAM	NM_003201	NM_003201	AMPL8801438	7019	TFAM	96	FALSE
FABP1	NM_001443	NM_001443	AMPL11122476	2168	FABP1	104	FALSE
IL2RB	NM_000878	NM_000878	AMPL6083822	3560	IL2RB	108	FALSE
LAMC1	NM_002293	NM_002293	AMPL8370971	3915	LAMC1	103	FALSE
ADAMTS4	NM_005099	NM_005099	AMPL29336997	9507	ADAMTS4	104	FALSE
ADM	NM_001124	NM_001124	AMPL2397925	133	ADM	110	FALSE
TAP1	NM_000593	NM_000593	AMPL6517148	6890	TAP1	105	FALSE
PDGFRB	NM_002609	NM_002609	AMPL6946491	5159	PDGFRB	108	FALSE
KRT7	NM_005556	NM_005556	AMPL26896345	3855	KRT7	103	FALSE
C5	NM_001735	NM_001735	AMPL9318631	727	C5	101	FALSE
NR4A2	NM_006186	NM_006186	AMPL29408493	4929	NR4A2	110	FALSE
SGK1	NM_001143676	NM_001143676	AMPL4055264	6446	SGK1	107	FALSE
SCARB1	NM_005505	NM_005505	AMPL27719618	949	SCARB1	111	FALSE
FAS	NM_000043	NM_000043	AMPL6420985	355	FAS	109	FALSE
GBA2	NM_020944	NM_020944	AMPL35559255	57704	GBA2	103	FALSE
SLC15A2	NM_021082	NM_021082	AMPL36808102	6565	SLC15A2	106	FALSE
VDAC1	NM_003374	NM_003374	AMPL10581621	7416	VDAC1	102	FALSE
NOS1	NM_001204218	NM_001204218	AMPL10262772	4842	NOS1	108	FALSE
SRF	NM_003131	NM_003131	AMPL8261193	6722	SRF	110	FALSE
PTP4A3	NM_032611	NM_032611	AMPL17089290	11156	PTP4A3	110	FALSE
NPC1L1	NM_013389	NM_013389	AMPL12481610	29881	NPC1L1	104	FALSE
IFITM1	NM_003641	NM_003641	AMPL7536970	8519	IFITM1	100	FALSE
SNAI1	NM_005985	NM_005985	AMPL29740812	6615	SNAI1	108	FALSE
CNR1	NM_016083	NM_016083	AMPL33763124	1268	CNR1	102	FALSE
AXIN1	NM_003502	NM_003502	AMPL11607174	8312	AXIN1	107	FALSE
OLFM3	NM_058170	NM_058170	AMPL16935376	118427	OLFM3	103	TRUE
CDKN2C	NM_078626	NM_078626	AMPL16833223	1031	CDKN2C	103	FALSE
BAG3	NM_004281	NM_004281	AMPL27594140	9531	BAG3	108	FALSE
PNMT	NM_002686	NM_002686	AMPL10346698	5409	PNMT	110	FALSE
PMAIP1	NM_021127	NM_021127	AMPL36551690	5366	PMAIP1	106	FALSE
NME1	NM_198175	NM_198175	AMPL22389058	4830	NME1	102	FALSE
KEAP1	NM_203500	NM_203500	AMPL20740898	9817	KEAP1	103	FALSE
MYD88	NM_002468	NM_002468	AMPL10622065	4615	MYD88	107	FALSE
ERBB3	NM_001982	NM_001982	AMPL11448617	2065	ERBB3	108	FALSE
CDK5	NM_004935	NM_004935	AMPL28338078	1020	CDK5	107	FALSE
GJA1	NM_000165	NM_000165	AMPL6384961	2697	GJA1	100	FALSE
GALNT4	NM_003774	NM_003774	AMPL6962188	8693	GALNT4	102	FALSE
S100A4	NM_002961	NM_002961	AMPL9652473	6275	S100A4	108	FALSE
FOXA2	NM_021784	NM_021784	AMPL35646196	3170	FOXA2	106	TRUE
ULK1	NM_003565	NM_003565	AMPL11203527	8408	ULK1	108	FALSE
AQP4	NM_001650	NM_001650	AMPL8630112	361	AQP4	106	FALSE
CLDN7	NM_001307	NM_001307	AMPL11137028	1366	CLDN7	94	FALSE
NF2	NM_000268	NM_000268	AMPL6592465	4771	NF2	99	FALSE
ID1	NM_002165	NM_002165	AMPL10478276	3397	ID1	106	FALSE
HSD17B7	NM_016371	NM_016371	AMPL30919304	51478	HSD17B7	100	FALSE
SLC2A4	NM_001042	NM_001042	AMPL6203495	6517	SLC2A4	108	FALSE
SRC	NM_198291	NM_198291	AMPL22168733	6714	SRC	106	FALSE
ARNT	NM_001668	NM_001668	AMPL10772887	405	ARNT	111	FALSE
CXCL12	NM_001178134	NM_001178134	AMPL9979055	6387	CXCL12	107	FALSE
ABCA6	NM_080284	NM_080284	AMPL18550501	23460	ABCA6	104	FALSE
MVP	NM_005115	NM_005115	AMPL29933535	9961	MVP	110	FALSE
UCP1	NM_021833	NM_021833	AMPL36311037	7350	UCP1	105	FALSE
XAF1	NM_199139	NM_199139	AMPL22068933	54739	XAF1	106	FALSE
EDNRA	NM_001957	NM_001957	AMPL9974643	1909	EDNRA	97	FALSE
PANK2	NM_153638	NM_153638	AMPL16866679	80025	PANK2	97	FALSE
PPP1R15A	NM_014330	NM_014330	AMPL25240818	23645	PPP1R15A	112	FALSE
SOX1	NM_005986	NM_005986	AMPL29213026	6656	SOX1	104	TRUE
GLUL	NM_001033056	NM_001033056	AMPL1047025	2752	GLUL	107	FALSE
FGFR2	NM_022970	NM_022970	AMPL36377917	2263	FGFR2	107	FALSE
ATF4	NM_182810	NM_182810	AMPL21733363	468	ATF4	105	FALSE
KRT19	NM_002276	NM_002276	AMPL9223556	3880	KRT19	106	FALSE
CCN1	NM_001554	NM_001554	AMPL11238754	3491	CCN1	105	FALSE
BIRC3	NM_182962	NM_182962	AMPL21443991	330	BIRC3	101	FALSE
JUNB	NM_002229	NM_002229	AMPL9054216	3726	JUNB	106	FALSE
FOXA1	NM_004496	NM_004496	AMPL29995295	3169	FOXA1	109	TRUE
BIRC2	NM_001166	NM_001166	AMPL7341368	329	BIRC2	106	FALSE
IL6	NM_000600	NM_000600	AMPL3050298	3569	IL6	105	FALSE
GPX3	NM_002084	NM_002084	AMPL10492034	2878	GPX3	107	FALSE
SMAD4	NM_005359	NM_005359	AMPL29138004	4089	SMAD4	106	FALSE
SMAD3	NM_005902	NM_005902	AMPL27676678	4088	SMAD3	108	FALSE
MGST2	NM_002413	NM_002413	AMPL8005646	4258	MGST2	107	FALSE
PAK2	NM_002577	NM_002577	AMPL8713955	5062	PAK2	101	FALSE
ABL1	NM_005157	NM_005157	AMPL28966626	25	ABL1	109	FALSE
ADAM17	NM_003183	NM_003183	AMPL9492210	6868	ADAM17	105	FALSE
ACLY	NM_001096	NM_001096	AMPL1076044	47	ACLY	105	FALSE
HMGCR	NM_000859	NM_000859	AMPL4264869	3156	HMGCR	101	FALSE
SLC7A9	NM_001126335	NM_001126335	AMPL3338693	11136	SLC7A9	108	FALSE
SLC28A3	NM_001199633	NM_001199633	AMPL7027115	64078	SLC28A3	107	FALSE
GRN	NM_002087	NM_002087	AMPL9801085	2896	GRN	108	FALSE
BMPR2	NM_001204	NM_001204	AMPL8843125	659	BMPR2	105	FALSE
RGN	NM_004683	NM_004683	AMPL27210897	9104	RGN	109	FALSE
ODAM	NM_017855	NM_017855	AMPL32562102	54959	ODAM	105	TRUE
DRD4	NM_000797	NM_000797	AMPL6114253	1815	DRD4	89	TRUE
IFNAR1	NM_000629	NM_000629	AMPL3780007	3454	IFNAR1	95	FALSE
F11R	NM_016946	NM_016946	AMPL31227780	50848	F11R	105	FALSE
ADORA2B	NM_000676	NM_000676	AMPL6301037	136	ADORA2B	107	FALSE
CDX2	NM_001265	NM_001265	AMPL9901836	1045	CDX2	104	TRUE
HHEX	NM_002729	NM_002729	AMPL8148747	3087	HHEX	105	TRUE
SLC2A3	NM_006931	NM_006931	AMPL12187944	6515	SLC2A3	102	FALSE
TSC2	NM_000548	NM_000548	AMPL3612152	7249	TSC2	105	FALSE
PER1	NM_002616	NM_002616	AMPL10834028	5187	PER1	108	FALSE
TIE1	NM_005424	NM_005424	AMPL27953528	7075	TIE1	103	FALSE
PRKDC	NM_006904	NM_006904	AMPL13027983	5591	PRKDC	107	FALSE
GAMT	NM_138924	NM_138924	AMPL35014372	2593	GAMT	104	FALSE
JUN	NM_002228	NM_002228	AMPL11826232	3725	JUN	104	FALSE
ITGB1	NM_002211	NM_002211	AMPL7498658	3688	ITGB1	98	FALSE
EPHX1	NM_001136018	NM_001136018	AMPL5427776	2052	EPHX1	103	FALSE
ZEB1	NM_001174093	NM_001174093	AMPL7772539	6935	ZEB1	95	FALSE
PLVAP	NM_031310	NM_031310	AMPL14221362	83483	PLVAP	105	TRUE
PPARD	NM_006238	NM_006238	AMPL29405264	5467	PPARD	101	FALSE
FLT1	NM_002019	NM_002019	AMPL11690701	2321	FLT1	102	FALSE
INMT	NM_006774	NM_006774	AMPL12861961	11185	INMT	100	FALSE
SLC22A3	NM_021977	NM_021977	AMPL35206054	6581	SLC22A3	108	FALSE
MDK	NM_001012334	NM_001012334	AMPL116991	4192	MDK	96	FALSE
RAMP2	NM_005854	NM_005854	AMPL26941641	10266	RAMP2	108	FALSE
IKBKG	NM_001099856	NM_001099856	AMPL1371813	8517	IKBKG	99	FALSE
SERPINF1	NM_002615	NM_002615	AMPL7191165	5176	SERPINF1	102	FALSE
LGALS3	NM_002306	NM_002306	AMPL11292167	3958	LGALS3	108	FALSE
DKK3	NM_015881	NM_015881	AMPL31157081	27122	DKK3	105	FALSE
HSPA2	NM_021979	NM_021979	AMPL36219591	3306	HSPA2	106	FALSE
TNFRSF10A	NM_003844	NM_003844	AMPL28463511	8797	TNFRSF10A	106	FALSE
IFITM3	NM_021034	NM_021034	AMPL36697442	10410	IFITM3	103	FALSE
TBC1D9	NM_015130	NM_015130	AMPL25800389	23158	TBC1D9	102	FALSE
DDOST	NM_005216	NM_005216	AMPL27289890	1650	DDOST	105	FALSE
AANAT	NM_001088	NM_001088	AMPL3275619	15	AANAT	110	FALSE
GDF15	NM_004864	NM_004864	AMPL30137347	9518	GDF15	111	FALSE
FGFR3	NM_001163213	NM_001163213	AMPL10721356	2261	FGFR3	103	FALSE
TGM2	NM_004613	NM_004613	AMPL29137842	7052	TGM2	108	FALSE
PARP1	NM_001618	NM_001618	AMPL7740822	142	PARP1	107	FALSE
SCO2	NM_001169111	NM_001169111	AMPL7068638	9997	SCO2	102	FALSE
AURKA	NM_003600	NM_003600	AMPL11289894	6790	AURKA	103	FALSE
LIF	NM_002309	NM_002309	AMPL8546820	3976	LIF	107	FALSE
DNAJB9	NM_012328	NM_012328	AMPL12546261	4189	DNAJB9	101	FALSE
HDAC1	NM_004964	NM_004964	AMPL27170842	3065	HDAC1	102	FALSE
CD55	NM_001114752	NM_001114752	AMPL6117764	1604	CD55	106	FALSE
SULT2B1	NM_177973	NM_177973	AMPL15635974	6820	SULT2B1	103	FALSE
NAT1	NM_001160176	NM_001160176	AMPL7198199	9	NAT1	94	FALSE
APC	NM_000038	NM_000038	AMPL1716059	324	APC	105	FALSE
F3	NM_001993	NM_001993	AMPL11900789	2152	F3	107	FALSE
NR5A2	NM_205860	NM_205860	AMPL21658900	2494	NR5A2	99	TRUE
PAX5	NM_016734	NM_016734	AMPL33503809	5079	PAX5	102	FALSE
ABCF1	NM_001025091	NM_001025091	AMPL1062180	23	ABCF1	109	FALSE
DIAPH1	NM_005219	NM_005219	AMPL28650049	1729	DIAPH1	109	FALSE
ETS2	NM_005239	NM_005239	AMPL29033857	2114	ETS2	107	FALSE
NF1	NM_001042492	NM_001042492	AMPL3996151	4763	NF1	98	FALSE
NRF1	NM_005011	NM_005011	AMPL29461627	4899	NRF1	108	FALSE
ALDH2	NM_000690	NM_000690	AMPL5946293	217	ALDH2	106	FALSE
CNP	NM_033133	NM_033133	AMPL17469466	1267	CNP	107	FALSE
CYP2S1	NM_030622	NM_030622	AMPL15428567	29785	CYP2S1	108	FALSE
NKX2-5	NM_004387	NM_004387	AMPL27701888	1482	NKX2-5	107	TRUE
COL18A1	NM_030582	NM_030582	AMPL15213300	80781	COL18A1	107	FALSE
CDC25C	NM_001790	NM_001790	AMPL7718529	995	CDC25C	108	FALSE
DMBX1	NM_147192	NM_147192	AMPL34447389	127343	DMBX1	107	TRUE
CYP2C8	NM_000770	NM_000770	AMPL5139177	1558	CYP2C8	101	FALSE
ZYX	NM_003461	NM_003461	AMPL10734020	7791	ZYX	102	FALSE
MGST1	NM_020300	NM_020300	AMPL34087314	4257	MGST1	98	FALSE
ATP2A2	NM_170665	NM_170665	AMPL17407313	488	ATP2A2	108	FALSE
GAS6	NM_000820	NM_000820	AMPL6609890	2621	GAS6	105	FALSE
VDR	NM_001017536	NM_001017536	AMPL205465	7421	VDR	105	FALSE
WNT11	NM_004626	NM_004626	AMPL30263921	7481	WNT11	107	FALSE
CREB1	NM_134442	NM_134442	AMPL16047670	1385	CREB1	109	FALSE
GREB1	NM_014668	NM_014668	AMPL24231493	9687	GREB1	105	FALSE
SLC29A2	NM_001532	NM_001532	AMPL8469686	3177	SLC29A2	109	FALSE
CYP2E1	NM_000773	NM_000773	AMPL2549655	1571	CYP2E1	108	FALSE
SLC38A2	NM_018976	NM_018976	AMPL33572362	54407	SLC38A2	95	FALSE
ENPP1	NM_006208	NM_006208	AMPL27542663	5167	ENPP1	102	FALSE
HSPA1B	NM_005346	NM_005346	AMPL28947609	3304	HSPA1B	103	FALSE
AXL	NM_021913	NM_021913	AMPL37228762	558	AXL	109	FALSE
SLC46A1	NM_080669	NM_080669	AMPL17790424	113235	SLC46A1	108	FALSE
